2023-11-20 10:58:52.208 | INFO     | daifu:<module>:34 - Program Begin
2023-11-20 10:59:07.188 | INFO     | torch._tensor:to:88 - Fault Injected To: (0, 0)
2023-11-20 10:59:26.104 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (0, 0) Fault Recovered
2023-11-20 10:59:40.144 | INFO     | torch._tensor:to:88 - Fault Injected To: (50, 0)
2023-11-20 11:00:13.363 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (50, 0) Fault Recovered
2023-11-20 11:00:29.677 | INFO     | torch._tensor:to:88 - Fault Injected To: (100, 0)
2023-11-20 11:01:25.044 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (100, 0) Fault Recovered
2023-11-20 11:01:42.775 | INFO     | torch._tensor:to:88 - Fault Injected To: (150, 0)
2023-11-20 11:01:53.577 | ERROR    | __mp_main__:main_worker:237 - Failed to restore checkpoint: PytorchStreamReader failed reading zip archive: failed finding central directory
2023-11-20 11:01:53.579 | INFO     | __mp_main__:main_worker:238 - Give up CheckFreq Resume and Simulate Restart From Default Checkpoint (We Skip the Proper Process to Save Time, Please use the default checkpoint result as reference here)
2023-11-20 11:02:01.530 | INFO     | torch:fault_injection_scheduler_and_recorder:999 - (150, 0) Fault Not Properly Recovered, Please Use the Default Checkpoint Recovery Time for this Injection
2023-11-20 11:02:18.944 | INFO     | torch._tensor:to:88 - Fault Injected To: (200, 0)
2023-11-20 11:02:38.526 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (200, 0) Fault Recovered
2023-11-20 11:02:56.382 | INFO     | torch._tensor:to:88 - Fault Injected To: (250, 0)
2023-11-20 11:03:06.313 | ERROR    | __mp_main__:main_worker:237 - Failed to restore checkpoint: PytorchStreamReader failed reading zip archive: failed finding central directory
2023-11-20 11:03:06.314 | INFO     | __mp_main__:main_worker:238 - Give up CheckFreq Resume and Simulate Restart From Default Checkpoint (We Skip the Proper Process to Save Time, Please use the default checkpoint result as reference here)
