2023-11-18 15:13:24.852 | INFO     | daifu:<module>:34 - Program Begin
2023-11-18 15:13:42.942 | INFO     | torch._tensor:to:88 - Fault Injected To: (0, 0)
2023-11-18 15:14:06.784 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (0, 0) Fault Recovered
2023-11-18 15:15:51.184 | INFO     | torch._tensor:to:88 - Fault Injected To: (50, 0)
2023-11-18 15:18:02.088 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (50, 0) Fault Recovered
2023-11-18 15:20:13.499 | INFO     | torch._tensor:to:88 - Fault Injected To: (100, 0)
2023-11-18 15:27:02.622 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (100, 0) Fault Recovered
2023-11-18 15:30:12.088 | INFO     | torch._tensor:to:88 - Fault Injected To: (150, 0)
2023-11-18 15:30:25.979 | ERROR    | __mp_main__:main_worker:237 - Failed to restore checkpoint: PytorchStreamReader failed reading zip archive: failed finding central directory
2023-11-18 15:30:25.980 | INFO     | __mp_main__:main_worker:238 - Give up CheckFreq Resume and Simulate Restart From Default Checkpoint (We Skip the Proper Process to Save Time, Please use the default checkpoint result as reference here)
2023-11-18 15:30:35.628 | INFO     | torch:fault_injection_scheduler_and_recorder:999 - (150, 0) Fault Not Properly Recovered, Please Use the Default Checkpoint Recovery Time for this Injection
2023-11-18 15:33:39.756 | INFO     | torch._tensor:to:88 - Fault Injected To: (200, 0)
2023-11-18 15:34:17.125 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (200, 0) Fault Recovered
2023-11-18 15:37:20.508 | INFO     | torch._tensor:to:88 - Fault Injected To: (250, 0)
2023-11-18 15:37:34.467 | ERROR    | __mp_main__:main_worker:237 - Failed to restore checkpoint: PytorchStreamReader failed reading zip archive: failed finding central directory
2023-11-18 15:37:34.468 | INFO     | __mp_main__:main_worker:238 - Give up CheckFreq Resume and Simulate Restart From Default Checkpoint (We Skip the Proper Process to Save Time, Please use the default checkpoint result as reference here)
2023-11-18 15:37:44.355 | INFO     | torch:fault_injection_scheduler_and_recorder:999 - (250, 0) Fault Not Properly Recovered, Please Use the Default Checkpoint Recovery Time for this Injection
2023-11-18 15:40:48.692 | INFO     | torch._tensor:to:88 - Fault Injected To: (300, 0)
2023-11-18 15:41:27.296 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (300, 0) Fault Recovered
